College,pell.2012.2014,pell.2008,pell.change,price,college.access.index,endowment.per.student
Vassar,23,12,11,5600,3.1,340000
Grinnell,24,14,10,10400,2.7,880000
U.N.C.-Chapel Hill,21,13,8,7600,2.3,NA
Smith,23,16,7,11600,2.2,440000
Amherst,20,16,4,8400,2.0,940000
Harvard,17,13,4,3000,2.0,1520000
Pomona,18,12,6,5200,1.8,1170000
St. Mary's (Ind.),24,14,10,15900,1.8,80000
Susquehanna,25,17,8,18000,1.7,50000
Columbia,16,12,4,3500,1.6,320000
Rice,18,15,3,8100,1.5,810000
Kalamazoo,21,13,8,13900,1.5,190000
Wesleyan,18,12,6,8700,1.5,200000
Denison,20,11,9,11800,1.5,330000
Barnard,19,15,4,11100,1.4,90000
Brown,17,12,5,7000,1.4,350000
Williams,18,14,4,9300,1.4,840000
Stanford,15,12,3,4300,1.4,1200000
Wellesley,18,13,5,10600,1.2,640000
Occidental,20,19,1,14200,1.2,190000
DePauw,21,16,5,15200,1.2,210000
M.I.T.,17,14,3,7900,1.2,1000000
Haverford,15,12,3,5600,1.2,410000
Wheaton,21,13,8,14400,1.2,110000
Brandeis,21,12,9,15100,1.1,120000
Franklin and Marshall,17,7,10,9300,1.1,120000
Hamilton,16,9,7,8700,1.0,410000
Rochester,20,16,4,15100,0.9,190000
U. Penn.,16,10,6,9100,0.9,230000
Dartmouth,13,14,-1,4900,0.8,660000
Duke,14,9,5,5500,0.8,370000
Cornell,16,12,4,10500,0.7,220000
Ursinus,22,13,9,20600,0.7,80000
Princeton,13,9,4,5400,0.6,2280000
Vanderbilt,14,11,3,6800,0.6,330000
Illinois Wesleyan,20,13,7,18000,0.6,90000
St. Lawrence,18,17,1,14300,0.6,100000
Emory,20,14,6,17600,0.6,370000
Johns Hopkins,14,12,2,8600,0.4,130000
Macalester,17,14,3,15000,0.3,350000
Bowdoin,13,13,0,8900,0.2,490000
Bryn Mawr,15,14,1,12200,0.2,400000
Wofford,21,11,10,21700,0.2,110000
Yale,13,11,2,7700,0.2,1990000
Richmond,15,9,6,11900,0.2,440000
Georgetown,14,10,4,11000,0.2,80000
Davidson,13,6,7,8300,0.2,280000
Skidmore,14,15,-1,10300,0.1,120000
Virginia,12,8,4,7600,0.0,NA
Carleton,13,10,3,10200,0.0,330000
Middlebury,13,10,3,9700,0.0,300000
Swarthmore,15,10,5,14400,-0.1,970000
Harvey Mudd,14,10,4,11900,-0.1,340000
Chicago,12,13,-2,8400,-0.1,450000
Babson,17,16,1,16900,-0.1,70000
Colby,12,6,6,9000,-0.2,290000
Claremont McKenna,11,13,-3,7500,-0.3,470000
Lehigh,16,10,6,16000,-0.3,180000
Centre,16,13,3,17000,-0.3,160000
St. Olaf,14,12,2,13500,-0.3,110000
Caltech,11,10,1,8200,-0.4,770000
Trinity (Conn.),10,10,0,7500,-0.4,180000
Notre Dame,11,8,3,10200,-0.5,570000
Holy Cross,16,14,2,18500,-0.5,210000
American,21,10,11,25600,-0.5,40000
Colgate,11,7,4,9900,-0.5,260000
Northwestern,14,9,5,15400,-0.5,310000
Tufts,11,12,-1,10200,-0.5,140000
Conn. Coll.,15,9,6,16900,-0.5,110000
Washington and Lee,10,3,7,9900,-0.7,NA
Fordham,19,21,-2,25000,-0.8,30000
Stonehill,16,10,6,19900,-0.8,60000
N.Y.U.,21,16,5,28600,-0.9,60000
Colorado Coll.,11,7,4,12500,-0.9,200000
Gettysburg,13,8,5,15400,-0.9,90000
Dickinson,11,9,2,12400,-0.9,120000
Boston Coll.,14,10,4,17200,-1.0,140000
Bentley,16,12,4,21700,-1.1,50000
Rhodes,16,9,7,21700,-1.1,170000
Kenyon,8,7,1,10200,-1.2,100000
Villanova,13,9,4,18100,-1.2,30000
Furman,12,8,4,17100,-1.3,210000
Scripps,11,5,6,14600,-1.3,310000
George Washington,13,8,5,18300,-1.4,70000
Muhlenberg,10,5,5,14800,-1.6,50000
Lafayette,11,9,2,17300,-1.6,290000
Boston U.,14,10,4,23300,-1.7,40000
Loyola (Md.),15,9,6,24200,-1.7,30000
Providence,15,13,2,24400,-1.8,30000
Emerson,16,11,5,27700,-1.9,20000
Sewanee,20,12,8,34700,-2.1,180000
Wash. U. (St. Louis),6,5,1,11700,-2.1,470000
Wake Forest,16,7,9,28100,-2.1,190000
Santa Clara,12,8,4,23100,-2.2,80000
Bucknell,10,8,2,19900,-2.3,150000
Fairfield,13,12,1,27000,-2.5,50000
William and Mary,10,8,2,21900,-2.6,NA
Elon,9,6,3,20800,-2.7,10000
Whitman,10,13,-3,24800,-3.0,270000
