keyword,when
analyzing,Beginning
computer science,Beginning
Hypothesis,Beginning
number,Beginning
average,Beginning
data-based,Beginning
,Beginning
Inference ,Beginning
quantitative thinking/reasoning,Beginning
analysis,Beginning
inference,Beginning
data,Beginning
Quantitative ,Beginning
patterns,Beginning
Using data to find a new thing ,Beginning
Data,Beginning
modelling,Beginning
outlier,Beginning
Logical Reasoning,Beginning
Organization,Beginning
quant,Beginning
Standard deviations,Beginning
Probability,Beginning
causation,Beginning
Data analysis,Beginning
analytical,Beginning
data,Beginning
analysis,Beginning
data,Beginning
processing data,Beginning
analysis ,Beginning
Data,Beginning
data,Beginning
Numbers,Beginning
data,Beginning
data,Beginning
Probabilities,Beginning
models,Beginning
Statistics,Beginning
process,Beginning
data analysis,Beginning
Data,Beginning
solving real-world problems in a mathematical way,Beginning
numbers,Beginning
numbers,Beginning
Data,Beginning
model,Beginning
Data,Beginning
inference,Beginning
considering context,Beginning
Numbers,Beginning
Inference,Beginning
data analysis,Beginning
numbers,Beginning
quantitative,Beginning
Probability,Beginning
logic,Beginning
visualisation,Beginning
analysis of data sets,Beginning
aggregated thinking,Beginning
Logical ,Beginning
Math and analysis,Beginning
analyzing data,Beginning
data brain,Beginning
probability,Beginning
analysis,Beginning
data analysis,Beginning
numbers,Beginning
numbers ,Beginning
thinking in terms of numbers,Beginning
Community,Beginning
Empirical research/data,Beginning
data,Beginning
empirical  ,Beginning
data analysis,Beginning
data,Beginning
numbers,Beginning
data computations,Beginning
Methodical,Beginning
Data,Beginning
standard deviation,Beginning
data science,Beginning
assumptions,Beginning
analysis,Beginning
reasoning ,Beginning
mean,Beginning
Subjective,Beginning
data collection,Beginning
subjectivity,Beginning
Calculated Depictions of reality,Beginning
Relations between variables,Beginning
data,Beginning
numbers,Beginning
Data,Beginning
math ,Beginning
Prediction,Beginning
Coding,Beginning
Data,Beginning
data,Beginning
Relationships,Beginning
processing,Beginning
empirical,Beginning
Graphs,Beginning
Design,Beginning
Theory,Beginning
trends,Beginning
data based,Beginning
Data driven,Beginning
Society,Beginning
using data to understand the real world,Beginning
Data Collection,Beginning
analysis,Beginning
Analytics ,Beginning
The process of taking logical steps based on reliable data,Beginning
data,Beginning
economics,Beginning
Mean,Beginning
data,Beginning
median,Beginning
creative,Beginning
,Beginning
Confidence Intervals ,Beginning
,Beginning
data set,Beginning
data,Beginning
inferences,Beginning
Analysis,Beginning
trends,Beginning
,Beginning
Statistics ,Beginning
prediction,Beginning
data point,Beginning
Intuition,Beginning
Data,Beginning
data,Beginning
Data,Beginning
Numbers,Beginning
speculation,Beginning
Graphs,Beginning
rigorous,Beginning
correlation v. causation,Beginning
numbers,Beginning
Excel,Beginning
,Beginning
sample ,Beginning
Reasoning,Beginning
graphs,Beginning
Correlation,Beginning
correlation,Beginning
graphs,Beginning
Distribution,Beginning
visuals,Beginning
Data,Beginning
analysis,Beginning
research question,Beginning
probability,Beginning
,Beginning
data,Beginning
spreadsheets ,Beginning
Analytical,Beginning
math,Beginning
Hypothesis,Beginning
drawing conclusions,Beginning
data-driven,Beginning
Charts,Beginning
Trends,Beginning
data visualization,Beginning
graphs,Beginning
data,Beginning
Likelihood,Beginning
avoiding bias,Beginning
numbers,Beginning
,Beginning
averages,Beginning
Difficult to master,Beginning
data analysis,Beginning
probability,Beginning
strategic,Beginning
organized,Beginning
quantitative,Beginning
probability,Beginning
data,Beginning
analyzing numbers to draw broad conclusions,Beginning
collect data,Beginning
Opportunity,Beginning
application of data ,Beginning
categorization,Beginning
mathematical ,Beginning
data cleaning,Beginning
graphs,Beginning
analytics,Beginning
thinking analytically ,Beginning
No Idea,Beginning
Proof,Beginning
tail,Beginning
synthesis ,Beginning
interpreting data,Beginning
bigger picture,Beginning
technical ,Beginning
median,Beginning
,Beginning
numbers,Beginning
experimentation,Beginning
Technological Logic,Beginning
Probability ,Beginning
graph,Beginning
exploration,Beginning
Logic,Beginning
number ,Beginning
,Beginning
Data,Beginning
Reasoning with Numbers,Beginning
analyzation,Beginning
Data,Beginning
processing information and analyzing,Beginning
real world,Beginning
Correlation,Beginning
Data Manipulation,Beginning
Charts,Beginning
analysis ,Beginning
large,Beginning
Inquisitive,Beginning
Data,Beginning
making model,Beginning
probability,Beginning
data,Beginning
Numbers,Beginning
responsible sampling,Beginning
graphs,Beginning
,Beginning
Variable,Beginning
objective,Beginning
quartile,Beginning
analytical,Beginning
hard,Beginning
Sampling ,Beginning
,Beginning
average,Beginning
models,Beginning
predicting ,Beginning
Group Characteristics,Beginning
,Beginning
,Beginning
Decision-making ,Beginning
quantification,Beginning
Inference,Beginning
Data,Beginning
Answering questions,Beginning
number,Beginning
Mean,Beginning
Patterns,Beginning
correlation,Beginning
,Beginning
useful,Beginning
,Beginning
data,Beginning
problem-solving,Beginning
,Beginning
population,Beginning
Connections,Beginning
visualization ,Beginning
Probability,Beginning
relationships,Beginning
numbers,Beginning
,Beginning
big picture,Beginning
Sample,Beginning
data collection,Beginning
computation,Beginning
populations,Beginning
,Beginning
seeing relationships,Beginning
math,Beginning
Spreadsheets,Beginning
data,Beginning
Conclusion,Beginning
correlation and causation,Beginning
more than just math,Beginning
Data plotting,Beginning
Patterns,Beginning
telling a story with data,Beginning
,Beginning
analysis,Beginning
Numbers,Beginning
large-scale,Beginning
measurement,Beginning
,Beginning
,Beginning
IMportant ,Beginning
Numbers,Beginning
,Beginning
data/information led,Beginning
inference,Beginning
qualitative,Beginning
numbers,Beginning
ideas,Beginning
,Beginning
analyze data to draw conclusions,Beginning
Friendship,Beginning
,Beginning
generalization,Beginning
data-driven ,Beginning
summarizing large data sets,Beginning
,Beginning
,Beginning
using data to back up your statements,Beginning
"Really, No Idea",Beginning
Population,Beginning
statistically significant,Beginning
visualization ,Beginning
,Beginning
,Beginning
visualization,Beginning
mode,Beginning
,Beginning
math,Beginning
patterns,Beginning
,Beginning
Correlations vs causality ,Beginning
trend,Beginning
patterns,Beginning
Mapping,Beginning
collection ,Beginning
,Beginning
Probability ,Beginning
,Beginning
making inferences,Beginning
Connections,Beginning
,Beginning
reflection of reality,Beginning
Causation,Beginning
,Beginning
Mysterious math,Beginning
mean,Beginning
,Beginning
Smart,Beginning
Understanding information,Beginning
,Beginning
graphs,Beginning
,Beginning
High percentage,Beginning
Bayesian,Beginning
inference,End
error,End
Inference,End
bootstrap,End
inference,End
bootstrapping,End
Assumptions. ,End
Confident ,End
strategic,End
Wrangling,End
visualization,End
Probability,End
inference ,End
Confidence Interval,End
Hypothesis ,End
data visualizations,End
p-value,End
visualization,End
Bootstrap,End
analysis,End
inference,End
Statistically Significant ,End
Resourcefulness ,End
analysis,End
Measurement,End
inference ,End
inference ,End
chance,End
inference,End
inference,End
P-value,End
Rigorous ,End
Data,End
philosophy of understanding,End
Analytics,End
Analytics,End
Interpretation,End
p-value,End
Data,End
Dissemination of truths,End
inference,End
prediction,End
assumptions,End
Modeling,End
simulation,End
effective decision - making,End
hypothesis testing,End
Error. ,End
Significance ,End
adaptable,End
Testing,End
wrangling ,End
Confidence Intervals,End
estimation,End
Null hypothesis,End
Data,End
hypothesis testing,End
hypothesis,End
inference,End
Wrangle,End
variation ,End
determining relationships ,End
Sample Size,End
Diligence,End
,End
Analyses,End
confidence ,End
hypothesis testing,End
confidence,End
histogram,End
probability distribution,End
Null ,End
Analytical ,End
Graphs,End
interconnected processes,End
Data,End
Data driven,End
Careful,End
wrangling,End
Population,End
corrleation,End
prediction,End
wrangling,End
distribution,End
Wrangling,End
reproducibility,End
,End
data visualization ,End
Confidence of Interval. ,End
Probability ,End
progression,End
Sampling,End
,End
P-Value,End
test,End
sample size,End
Wrangling ,End
inference and estimation,End
inference,End
prediction,End
Null distribution ,End
hypothesis ,End
causation,End
P-value,End
Methodical,End
,End
Wrangling,End
,End
conclusion,End
inference,End
r studio,End
simulated distributions,End
Z-score,End
,End
Numbers,End
tools for analysis,End
Numbers based,End
Numbers based,End
Data,End
uncertainty,End
Sample,End
causation,End
ethics,End
